Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,21,3445,2715,2136,350,580,10,150,602,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src,21,3445,2715,2136,350,580,10,150,602,0,0
